Alabama,$3.509
Alaska,$2.812
Arizona,$2.816
Arkansas,$3.125
California,$4.284
Colorado,$3.427
Connecticut,$3.125
District of Columbia,$3.235
Delaware,$2.988
Florida,$3.007
Georgia,$2.913
Hawaii,$4.022
Idaho,$2.960
Illinois,$3.443
Indiana,$3.368
Iowa,$3.104
Kansas,$2.877
Kentucky,$2.946
Louisiana,$2.757
Maine,$2.993
Maryland,$3.005
Massachusetts,$3.088
Michigan,$3.209
Minnesota,$2.970
Mississippi,$2.812
Missouri,$2.749
Montana,$3.090
Nebraska,$2.891
Nevada,$2.981
New Hampshire,$2.960
New Jersey,$2.970
New Mexico,$3.143
New York,$3.090
North Carolina,$3.738
North Dakota,$3.174
Ohio,$3.063
Oklahoma,$2.835
Oregon,$3.620
Pennsylvania,$3.205
Rhode Island,$3.006
South Carolina,$2.819
South Dakota,$3.047
Tennessee,$2.880
Texas,$2.799
Utah,$3.562
Vermont,$2.933
Virginia,$3.024
Washington,$3.763
West Virginia,$2.977
Wisconsin,$3.051
Wyoming,$3.274
