"7-Eleven  66601 S Roselle RdSchaumburg, IL",$3.55
"Marathon  268121 W Schaumburg RdSchaumburg, IL",$3.24
"Shell  322575 S Roselle RdSchaumburg, IL",$3.50
"Speedway  277421 W Wise RdSchaumburg, IL",$3.49
"Mobil  & Bucky's 152780 E Schaumburg RdSchaumburg, IL",$3.55
"Mobil  56810 N Roselle RdHoffman Estates, IL",$3.55
"Mobil  & Bucky's 5241530 W Schaumburg RdSchaumburg, IL",$3.44
"Shell  155641 N Roselle RdRoselle, IL",$3.44
"Shell  90750 E Higgins RdSchaumburg, IL",$3.54
"Mobil  & Bucky's 134615 W Higgins RdHoffman Estates, IL",$3.45
